,year,make,model,sub_model,city,state,mileage,price,exterior_color,interior_color,mpg_city,mpg_hwy,engine,transmission,drive_type,fuel_type,popular_feature,cpo,num_accident,usage_type,title,num_owner
5602,2017,Honda,Civic,LX Sedan CVT,Orland Park,IL,34975,14183,Crystal Black Pearl,Ivory,31.0,40.0,2.0L Inline-4 Gas,Automatic,FWD,Gas,"['Cruise Control', 'Bluetooth', 'Backup Camera']",False,0,Personal or Rental Use,Clean,1
5603,2016,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Newport News,VA,18114,27704,Shadow Black,Black,17.0,23.0,2.7L V-6 Gas Turbocharged,Automatic,4WD,Gas,"['Cruise Control', 'Bluetooth', 'Backup Camera']",False,0,Fleet or Mixed Use,Clean,1
5604,2017,Toyota,RAV4,Platinum AWD,Manchester,TN,20848,25759,Magnetic Gray Metallic,Ash,22.0,28.0,2.5L Inline-4 Gas,Automatic,AWD,Gas,[],False,0,Personal or Rental Use,Clean,1
5605,2017,Toyota,Mirai,Sedan,Long Beach,CA,12449,16444,Celestial Black,Blue Black,66.0,66.0,L - Hydrogen,Automatic,FWD,Hydrogen,[],False,0,Personal or Rental Use,Clean,1
5606,2018,Chevrolet,Malibu,LT with 1LT,Yonkers,NY,35359,13881,Summit White,Dark Atmosphere/Medium Ash Gray,27.0,36.0,1.5L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,"['Cruise Control', 'Bluetooth', 'Backup Camera']",True,0,Personal or Rental Use,Clean,1
5607,2005,Nissan,Titan,SE King Cab 2WD (FFV),Fredericksburg,VA,60140,8495,Galaxy Gray Metallic,Steel,14.0,19.0,5.6L V-8 Gas,Automatic,RWD,Gas,[],False,0,Personal or Rental Use,Clean,2
5608,2010,Mercedes-Benz,CLS,CLS 550,Everett,WA,83184,14995,Black,Black,14.0,21.0,5.5L V-8 Gas,Automatic,RWD,Gas,[],False,0,Personal or Rental Use,Clean,5
5609,2017,Chevrolet,Malibu,LT with 1LT,St. Charles,IL,3279,16996,Iridescent Pearl Tricoat,Jet Black,27.0,36.0,1.5L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,"['Remote Engine Start', 'Backup Camera', 'Cruise Control', 'Bluetooth']",True,0,Personal or Rental Use,Clean,1
5610,2017,Nissan,Rogue,SV FWD,Palmetto Bay,FL,24458,14498,Magnetic Black,Almond,26.0,33.0,2.5L Inline-4 Gas,Automatic,FWD,Gas,"['Front Heated Seats', 'Cruise Control', 'Backup Camera', 'Remote Engine Start', 'Blind Spot System', 'Bluetooth']",False,2,Personal or Rental Use,Clean,1
5611,2019,Ram,1500,"Big Horn Crew Cab 6'4"" Box 4WD",Corbin,KY,38585,24000,Brilliant Black Crystal Pearlcoat,Diesel Gray/Black,15.0,21.0,5.7L V-8 Gas,Automatic,4WD,Gas,[],False,0,Personal or Rental Use,Clean,1
