,year,make,model,sub_model,city,state,mileage,price,exterior_color,interior_color,mpg_city,mpg_hwy,engine,transmission,drive_type,fuel_type,popular_feature,cpo,num_accident,usage_type,title,num_owner
1480,2012,Mercedes-Benz,['S-Class'],S 550 Sedan RWD,Plano,TX,180452,10495,Black,Black,15.0,25.0,4.6L V-8 Gas Turbocharged,Automatic,RWD,Gas,[],False,1,Personal or Rental Use,Clean,1
1481,2007,Toyota,['Tundra'],SR5 Double Cab 6.9' Bed 4.7L V8 4WD,Butler,PA,180758,7730,Nautical Blue Metallic,Graphite,15.0,18.0,4.7L V-8 Gas,Automatic,4WD,Gas,[],False,0,Personal or Rental Use,Clean,2
1482,2003,Jaguar,['S-TYPE'],V6,Raleigh,NC,197426,2495,Black,Gray,18.0,26.0,3.0L V-6 Gas,Automatic,RWD,Gas,[],False,0,Personal or Rental Use,Clean,3
1483,2017,Ford,['F-150'],XLT SuperCrew 5.5' Box RWD,Bastrop,LA,71692,19994,Lithium Gray,Unknown,18.0,25.0,3.5L V-6 Gas,Automatic,RWD,Gas,"['Cruise Control', 'Bluetooth']",False,0,Personal or Rental Use,Clean,2
1484,2001,GMC,['Yukon'],XL 1500 SLE RWD,El Cajon,CA,152902,4599,White,Gray,14.0,18.0,5.3L V-8 Gas,Automatic,RWD,Gas,[],False,0,Personal or Rental Use,Clean,2
1485,2012,Nissan,['LEAF'],SL,Portland,OR,73333,4741,Brilliant Silver,Light Grey,106.0,92.0,L - Electric,Automatic,FWD,Electric,"['Navigation', 'Cruise Control', 'Bluetooth', 'Front Heated Seats', 'Backup Camera']",False,0,Fleet or Mixed Use,Clean,2
1486,2007,Honda,['CR-V'],EX 4WD,Smyrna,TN,177853,4995,Light Blue,Tan,22.0,28.0,2.4L Inline-4 Gas,Automatic,4WD,Gas,"['Moonroof', 'Cruise Control']",False,0,Personal or Rental Use,Clean,2
1487,2019,Chevrolet,['Impala'],LT with 1LT,Tucson,AZ,30249,16999,Nightfall Gray Metallic,Jet Black,22.0,30.0,3.6L V-6 Gas,Automatic,FWD,Gas,"['Remote Engine Start', 'Backup Camera', 'Cruise Control', 'Bluetooth']",False,0,Personal or Rental Use,Clean,1
1488,2017,Toyota,['Camry'],SE I4 Automatic,Davis,CA,46417,14499,Midnight Black Metallic,Black,24.0,33.0,2.5L Inline-4 Gas,Automatic,FWD,Gas,[],False,0,Fleet or Mixed Use,Clean,2
1489,2017,Toyota,['Camry'],LE I4 Automatic,Salt Lake City,UT,90794,11557,White,Unknown,24.0,33.0,2.5L Inline-4 Gas,Automatic,FWD,Gas,[],False,0,Personal or Rental Use,Clean,2
1490,2013,Jeep,['Wrangler'],Unlimited Sahara,Lynnwood,WA,83988,20999,Bright White,Black Interior,16.0,21.0,3.6L V-6 Gas,Automatic,4WD,Gas,"['Navigation', 'Cruise Control', 'Remote Engine Start', 'Bluetooth']",False,0,Personal or Rental Use,Clean,0
1491,2018,Nissan,['Versa'],S Plus CVT,Denton,TX,28635,7300,Super Black,Charcoal,31.0,39.0,1.6L Inline-4 Gas,Automatic,FWD,Gas,"['Cruise Control', 'Bluetooth']",False,1,Fleet or Mixed Use,Clean,1
1492,2017,Ford,['Escape'],SE 4WD,Omaha,NE,97809,12298,Ingot Silver Metallic,Gray,22.0,28.0,1.5L Inline-4 Gas Turbocharged,Automatic,4WD,Gas,"['Cruise Control', 'Bluetooth', 'Backup Camera']",False,0,Personal or Rental Use,Clean,1
1493,2008,Pontiac,"['Grand', 'Prix']",4dr Sedan,O'Fallon,IL,175051,2911,Crimson Red,Cashmere,18.0,28.0,3.8L V-6 Gas,Automatic,FWD,Gas,[],False,0,Personal or Rental Use,Clean,2
1494,2017,Honda,['Accord'],Sport Sedan CVT,Fort Lauderdale,FL,27702,14943,Basque Red Pearl Ii,Black,26.0,34.0,2.4L Inline-4 Gas,Automatic,FWD,Gas,"['Cruise Control', 'Bluetooth', 'Backup Camera']",False,1,Personal or Rental Use,Clean,1
